,How many employees does your company or organization have?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,Is your anonymity protected if you choose to take advantage of mental health or substance abuse treatment resources provided by your employer?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Have you heard of or observed negative consequences for co-workers who have been open about mental health issues in your workplace?,Do you have medical coverage (private insurance or state-provided) which includes treatment of  mental health issues?,Do you know local or online resources to seek help for a mental health disorder?,"If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to clients or business contacts?","If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?","If you have been diagnosed or treated for a mental health disorder, do you ever reveal this to coworkers or employees?","If you have revealed a mental health issue to a coworker or employee, do you believe this has impacted you negatively?",Do you believe your productivity is ever affected by a mental health issue?,"If yes, what percentage of your work time (time performing primary or secondary job functions) is affected by a mental health issue?",Do you have previous employers?,Have your previous employers provided mental health benefits?,Were you aware of the options for mental health care provided by your previous employers?,Did your previous employers ever formally discuss mental health (as part of a wellness campaign or other official communication)?,Did your previous employers provide resources to learn more about mental health issues and how to seek help?,Was your anonymity protected if you chose to take advantage of mental health or substance abuse treatment resources with previous employers?,Do you think that discussing a mental health disorder with previous employers would have negative consequences?,Do you think that discussing a physical health issue with previous employers would have negative consequences?,Would you have been willing to discuss a mental health issue with your previous co-workers?,Would you have been willing to discuss a mental health issue with your direct supervisor(s)?,Did you feel that your previous employers took mental health as seriously as physical health?,Did you hear of or observe negative consequences for co-workers with mental health issues in your previous workplaces?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,Do you feel that being identified as a person with a mental health issue would hurt your career?,Do you think that team members/co-workers would view you more negatively if they knew you suffered from a mental health issue?,How willing would you be to share with friends and family that you have a mental illness?,Have you observed or experienced an unsupportive or badly handled response to a mental health issue in your current or previous workplace?,Have your observations of how another individual who discussed a mental health disorder made you less likely to reveal a mental health issue yourself in your current workplace?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,"If yes, what condition(s) have you been diagnosed with?","If maybe, what condition(s) do you believe you have?",Have you been diagnosed with a mental health condition by a medical professional?,"If so, what condition(s) were you diagnosed with?",Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,What is your gender?,Which of the following best describes your work position?,Do you work remotely?,age_range
0,2,0,3,1,2,2,0,6,0,2,0,2,0,0,0,1,0,1,0,1,0,4,1,2,1,0,1,0,3,1,2,3,0,1,0,0,0,1,4,1,1,1,2,1,107,77,1,3,0,1,1,20,1,0,2,2
1,4,0,2,3,3,3,2,4,0,2,0,2,3,0,0,1,0,1,0,1,0,4,1,4,0,2,2,4,2,1,1,3,3,1,0,1,1,1,4,1,1,2,2,2,10,77,1,9,1,3,4,10,1,8,1,1
2,4,0,2,1,2,2,0,1,1,2,0,0,0,0,0,1,0,1,0,1,0,4,1,2,1,2,2,0,0,2,2,0,0,2,2,2,0,0,4,0,2,1,0,1,107,77,0,95,1,1,1,19,1,0,0,2
3,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,3,4,0,4,0,3,0,1,3,1,2,1,0,3,2,2,3,0,2,2,0,3,0,0,1,1,1,2,2,10,77,1,9,1,4,4,24,1,205,2,2
4,4,1,4,3,2,2,1,1,1,0,0,1,2,0,0,1,0,1,0,1,0,4,1,0,1,3,1,0,3,2,1,3,3,2,0,1,3,0,4,2,2,2,2,2,65,77,1,3,1,4,4,24,0,87,2,2
5,5,0,4,0,2,3,2,4,1,3,0,2,2,1,0,1,0,1,0,1,0,4,1,2,4,2,1,0,4,2,1,2,2,2,2,0,3,0,4,2,1,1,1,2,66,77,0,95,1,1,2,23,1,65,2,2
6,2,0,0,2,2,2,0,4,0,2,0,2,3,0,0,1,0,1,0,1,0,4,1,3,0,2,2,0,2,1,2,4,3,1,2,2,3,1,1,1,1,1,1,1,107,77,0,95,0,1,1,11,1,0,2,1
7,5,0,4,3,2,3,2,6,0,2,0,2,0,0,0,1,0,1,0,1,0,4,1,3,0,3,2,3,3,2,2,3,3,2,1,1,0,0,4,3,0,2,2,2,67,77,1,52,1,4,2,18,0,31,0,2
8,2,1,0,2,2,2,0,5,1,3,2,0,2,0,0,1,0,1,0,1,0,4,1,0,1,3,1,0,4,3,1,2,2,1,0,0,0,4,4,3,1,2,2,2,83,77,1,68,1,3,2,25,0,254,2,2
9,6,0,1,1,1,1,1,2,0,1,1,1,1,0,1,0,1,1,4,2,3,0,1,3,0,2,1,0,3,2,2,3,0,1,2,0,0,1,5,1,1,2,2,2,10,77,1,9,1,3,2,11,1,153,0,1
10,2,0,4,0,3,3,2,6,0,2,0,2,3,0,0,1,0,1,0,1,0,4,1,2,1,2,1,2,3,2,1,3,2,2,2,2,1,0,5,3,0,0,2,2,83,77,1,68,1,4,2,9,1,95,1,1
11,1,1,4,3,2,0,0,3,1,2,1,1,2,0,0,1,0,1,0,1,0,4,1,2,1,2,1,0,4,2,1,2,2,1,1,1,3,3,2,1,1,2,2,2,1,77,1,3,1,0,3,15,1,72,2,2
